drug_name,smiles,catalog,product_name,source
CUDC-101,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO,S1194,CUDC-101,pubchem
Givinostat,CCN(CC)CC1=CC2=C(C=C1)C=C(C=C2)COC(=O)NC3=CC=C(C=C3)C(=O)NO,S2170,Givinostat (ITF2357),pubchem
Abexinostat,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,S1090,Abexinostat (PCI-24781),pubchem
Belinostat,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,S1085,Belinostat (PXD101),pubchem
Pracinostat,CCCCC1=NC2=C(N1CCN(CC)CC)C=CC(=C2)/C=C/C(=O)NO,S1515,Pracinostat (SB939),pubchem
LMK-235,CC1=CC(=CC(=C1)C(=O)NOCCCCCC(=O)NO)C,S7569,LMK-235,pubchem
M344,CN(C)C1=CC=C(C=C1)C(=O)NCCCCCCC(=O)NO,S2779,M344,pubchem
AT9283,C1CC1NC(=O)NC2=C(NN=C2)C3=NC4=C(N3)C=C(C=C4)CN5CCOCC5,S1134,AT9283,pubchem
Mocetinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC3=NC=CC(=N3)C4=CN=CC=C4,S1122,Mocetinostat (MGCD0103),pubchem
Aurora A Inhibitor I,CCN1CCN(CC1)C(=O)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5Cl)F,S1451,Aurora A Inhibitor I,pubchem
Pacritinib,C1CCN(C1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2,S8057,Pacritinib (SB1518),pubchem
Reversine,C1CCC(CC1)NC2=NC(=NC3=C2NC=N3)NC4=CC=C(C=C4)N5CCOCC5,S7588,Reversine,pubchem
JNJ-7706621,C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,S1249,JNJ-7706621,pubchem
GSK J4,CCOC(=O)CCNC1=CC(=NC(=N1)C2=CC=CC=N2)N3CCC4=CC=CC=C4CC3,S7070,GSK J4 HCl,pubchem
SGI-1776,CN1CCC(CC1)CNC2=NN3C(=NC=C3C4=CC(=CC=C4)OC(F)(F)F)C=C2,S2198,SGI-1776 free base,pubchem
BIX 01294,CN1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)NC4CCN(CC4)C5=CC=CC=C5)OC)OC,S8006,BIX 01294,pubchem
FLLL32,COC1=C(C=C(C=C1)/C=C/C(=O)C2(CCCCC2)C(=O)/C=C/C3=CC(=C(C=C3)OC)OC)OC,S7259,FLLL32,pubchem
MI-463,CC1=C(C=CC2=C1C=C(N2)C#N)CN3CCC(CC3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,S7816,MI-463,pubchem
TG101209,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)N4CCN(CC4)C,S2692,TG101209,pubchem
Bromosporine,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C,S7233,Bromosporine,gdsc
AZ6102,C[C@@H]1CN(C[C@@H](N1)C)C2=NC=C(C(=C2)C)C3=CC=C(C=C3)C4=NC5=C(C=CN5C)C(=O)N4,S7767,AZ6102,gdsc
NVP-BSK805,C1CNCCC1N2C=C(C=N2)C3=NC4=C(C=CC=C4N=C3)C5=CC(=C(C(=C5)F)CN6CCOCC6)F,S2686,NVP-BSK805 2HCl,pubchem
Tenovin-6,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)NC(=O)CCCCN(C)C,S4900,Tenovin-6,pubchem
Resminostat,CN(C)CC1=CC=C(C=C1)S(=O)(=O)N2C=CC(=C2)/C=C/C(=O)NO,S2693,Resminostat,pubchem
WT161,CCC1(C(=O)NC(=O)NC1=O)C2=CC3CCC(C3)C2,S8495,WT161,pubchem
Lificiguat,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,S7958,Lificiguat(YC-1),pubchem
Go6976,CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O,S7119,Go6976,pubchem
Curcumin,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,S1848,Curcumin,pubchem
2-Methoxyestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,S1233,2-Methoxyestradiol (2-MeOE2),pubchem
SP2509,C/C(=N\NC(=O)C1=CC(=CC=C1)S(=O)(=O)N2CCOCC2)/C3=C(C=CC(=C3)Cl)O,S7680,SP2509,pubchem
AR-42,CC(C)[C@@H](C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO,S2244,AR-42,pubchem
Nedaplatin,C(C(=O)[O-])[O-].N.N.[Pt+2],S1826,Nedaplatin ,pubchem
LLY-507,CC1=CN(C2=CC=CC=C12)CCN3CCN(CC3)C4=CC=CC=C4C5=CC(=CC(=C5)C#N)C(=O)NCCCN6CCCC6,S7575,LLY-507,pubchem
Panobinostat,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO,S1030,Panobinostat (LBH589),pubchem
Quisinostat,CN1C=C(C2=CC=CC=C21)CNCC3CCN(CC3)C4=NC=C(C=N4)C(=O)NO,S1096,Quisinostat (JNJ-26481585) 2HCl,pubchem
CUDC-907,CN(CC1=CC2=C(S1)C(=NC(=N2)C3=CN=C(C=C3)OC)N4CCOCC4)C5=NC=C(C=N5)C(=O)NO,S2759,CUDC-907,pubchem
CX-6258,CN1CCCN(CC1)C(=O)C2=CC=CC(=C2)C3=CC=C(O3)/C=C/4\C5=C(C=CC(=C5)Cl)NC4=O,S7041,CX-6258 HCl ,pubchem
SRT1720,C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5.Cl,S1129,SRT1720 HCl,pubchem
Dacinostat,C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)/C=C/C(=O)NO,S1095,Dacinostat (LAQ824),pubchem
