organoid_id,drug_name,ic50
P10,Mirin,4.495209
P10,Axitinib,1.907228
P10,Vorinostat,1.963027
P10,5-Fluorouracil,3.966824
P10,BMS-536924,1.888571
P10,SGC0946,3.289525
P10,Obatoclax Mesylate,0.258552
P10,Oxaliplatin,6.169144999999999
P10,Nilotinib,2.584092
P10,CHIR-99021,6.172287
P10,SCH772984,3.785712
P10,Gefitinib,1.856456
P10,AZD8055,2.526462
P10,Docetaxel,-2.403797
P10,BI-2536,-1.824894
P10,PF-4708671,3.096531
P10,Lenalidomide,3.472889
P10,Paclitaxel,-1.777605
P10,MK-2206,0.972411
P10,Cisplatin,0.620816
P10,BMS-345541,2.8947
P10,KU-55933,5.761043
P10,JQ1,0.273026
P10,Sorafenib,3.325442
P10,Irinotecan,1.900221
P10,Camptothecin,-0.836199
P10,Fulvestrant,2.754567
P10,RO-3306,5.31163
P10,JNK Inhibitor VIII,6.169467
P10,GSK269962A,4.021276
P10,Bortezomib,-2.610722
P10,Temozolomide,6.039534
P10,AZD6482,4.1971680000000005
P10,AZ960,3.077972
P6,Mirin,6.834183
P6,Axitinib,4.426444999999999
P6,Vorinostat,0.9913095
P6,5-Fluorouracil,6.5233955
P6,BMS-536924,4.760972000000001
P6,SGC0946,2.50739
P6,Obatoclax Mesylate,-0.18917
P6,Oxaliplatin,7.169758
P6,Nilotinib,3.7502725
P6,CHIR-99021,2.7205250000000003
P6,SCH772984,2.4405975
P6,Gefitinib,2.9583765
P6,AZD8055,2.0197025
P6,Docetaxel,-1.932028
P6,BI-2536,-1.110873
P6,PF-4708671,0.642205
P6,Lenalidomide,5.6902740000000005
P6,Paclitaxel,-1.376563
P6,MK-2206,4.5906435
P6,Cisplatin,1.5965885000000002
P6,BMS-345541,3.0557675
P6,KU-55933,5.1543195
P6,JQ1,1.2569425
P6,Sorafenib,4.1403135
P6,Irinotecan,1.822955
P6,Camptothecin,0.698609
P6,Fulvestrant,3.9153635
P6,RO-3306,5.2467215
P6,JNK Inhibitor VIII,4.3391145
P6,GSK269962A,1.3139569999999998
P6,Bortezomib,-3.0547145
P6,Temozolomide,6.7772445
P6,AZD6482,5.9186630000000005
P6,AZ960,6.2488125
P16,Mirin,9.231844
P16,Axitinib,2.376895
P16,Vorinostat,3.511413
P16,5-Fluorouracil,7.525857000000001
P16,BMS-536924,5.023708
P16,SGC0946,3.379635
P16,Obatoclax Mesylate,0.064238
P16,Oxaliplatin,7.396215
P16,Nilotinib,4.72334
P16,CHIR-99021,4.0788150000000005
P16,SCH772984,5.022567
P16,Gefitinib,4.120555
P16,AZD8055,2.157033
P16,Docetaxel,0.382642
P16,BI-2536,-0.343679
P16,PF-4708671,5.457123999999999
P16,Lenalidomide,6.406617
P16,Paclitaxel,-0.30551
P16,MK-2206,5.738184
P16,Cisplatin,1.633904
P16,BMS-345541,5.477277
P16,KU-55933,4.914149
P16,JQ1,1.842843
P16,Sorafenib,3.290581
P16,Irinotecan,1.479068
P16,Camptothecin,-1.381653
P16,Fulvestrant,2.649051
P16,RO-3306,5.293851
P16,JNK Inhibitor VIII,4.934569000000001
P16,GSK269962A,1.683702
P16,Bortezomib,-2.907209
P16,Temozolomide,7.841138000000001
P16,AZD6482,6.255169
P16,AZ960,3.546739
P8,Mirin,6.392222
P8,Axitinib,0.806794
P8,Vorinostat,0.668744
P8,5-Fluorouracil,4.454369
P8,BMS-536924,2.1744555
P8,SGC0946,3.4614495
P8,Obatoclax Mesylate,-1.348044
P8,Oxaliplatin,6.766317999999999
P8,Nilotinib,1.917024
P8,CHIR-99021,4.602004
P8,SCH772984,5.718522
P8,Gefitinib,0.8649805
P8,AZD8055,-0.922853
P8,Docetaxel,-3.730278
P8,BI-2536,-1.143344
P8,PF-4708671,1.547774
P8,Lenalidomide,5.316024
P8,Paclitaxel,-0.5603754999999999
P8,MK-2206,0.8381219999999999
P8,Cisplatin,-1.418453
P8,BMS-345541,4.030921
P8,KU-55933,5.323529
P8,JQ1,-0.360746
P8,Sorafenib,2.3457655
P8,Irinotecan,-1.6704105
P8,Camptothecin,-1.599695
P8,Fulvestrant,4.0693665
P8,RO-3306,3.015211
P8,JNK Inhibitor VIII,6.660991
P8,GSK269962A,1.0214
P8,Bortezomib,-1.7913655
P8,Temozolomide,7.920237500000001
P8,AZD6482,3.545003
P8,AZ960,2.053012
P9,Mirin,7.354456499999999
P9,Axitinib,1.197158
P9,Vorinostat,1.204674
P9,5-Fluorouracil,4.69449
P9,BMS-536924,2.974832
P9,SGC0946,3.661213
P9,Obatoclax Mesylate,-0.485246
P9,Oxaliplatin,6.160989
P9,Nilotinib,3.275633
P9,CHIR-99021,2.685764
P9,SCH772984,2.7258025
P9,Gefitinib,1.26206
P9,AZD8055,-0.030779
P9,Docetaxel,-3.1560040000000003
P9,BI-2536,-3.119724
P9,PF-4708671,2.28559
